	epoch	train_loss	train_acc	test_loss	test_acc	width	nonlin	criterion
276	2	0.0835	0.2326	2.2229	0.2822	64	tanh	mse
277	3	0.0778	0.3368	2.1710	0.3666	64	tanh	mse
278	4	0.0735	0.3828	2.1388	0.4000	64	tanh	mse
279	5	0.0709	0.4151	2.1174	0.4219	64	tanh	mse
280	6	0.0689	0.4358	2.1074	0.4408	64	tanh	mse
281	7	0.0672	0.4584	2.0950	0.4422	64	tanh	mse
282	8	0.0657	0.4751	2.0862	0.4559	64	tanh	mse
283	9	0.0643	0.4909	2.0849	0.4623	64	tanh	mse
284	10	0.0632	0.5006	2.0725	0.4626	64	tanh	mse
285	11	0.0621	0.5138	2.0645	0.4747	64	tanh	mse
286	12	0.0610	0.5252	2.0649	0.4746	64	tanh	mse
287	13	0.0599	0.5351	2.0531	0.4763	64	tanh	mse
288	14	0.0593	0.5407	2.0541	0.4744	64	tanh	mse
289	15	0.0583	0.5521	2.0535	0.4699	64	tanh	mse
290	16	0.0573	0.5623	2.0533	0.4724	64	tanh	mse
291	17	0.0565	0.5691	2.0481	0.4786	64	tanh	mse
292	18	0.0557	0.5773	2.0383	0.4805	64	tanh	mse
293	19	0.0551	0.5818	2.0421	0.4830	64	tanh	mse
294	20	0.0543	0.5919	2.0429	0.4820	64	tanh	mse
295	1	0.0897	0.1773	2.2794	0.1689	128	tanh	mse
296	2	0.0854	0.1939	2.2494	0.2317	128	tanh	mse
297	3	0.0811	0.2794	2.1945	0.3229	128	tanh	mse
298	4	0.0767	0.3450	2.1671	0.3554	128	tanh	mse
299	5	0.0745	0.3623	2.1605	0.3668	128	tanh	mse
300	6	0.0729	0.3861	2.1454	0.3971	128	tanh	mse
301	7	0.0706	0.4133	2.1351	0.3926	128	tanh	mse
302	8	0.0682	0.4426	2.1046	0.4248	128	tanh	mse
303	9	0.0663	0.4653	2.0944	0.4412	128	tanh	mse
304	10	0.0646	0.4840	2.1001	0.4393	128	tanh	mse
305	11	0.0631	0.5004	2.0784	0.4479	128	tanh	mse
306	12	0.0616	0.5147	2.0800	0.4564	128	tanh	mse
307	13	0.0601	0.5286	2.0808	0.4590	128	tanh	mse
308	14	0.0588	0.5408	2.0682	0.4672	128	tanh	mse
309	15	0.0576	0.5535	2.0677	0.4568	128	tanh	mse
310	16	0.0564	0.5657	2.0548	0.4729	128	tanh	mse
311	17	0.0552	0.5756	2.0555	0.4681	128	tanh	mse
312	18	0.0541	0.5867	2.0425	0.4763	128	tanh	mse
313	19	0.0531	0.5959	2.0448	0.4793	128	tanh	mse
314	20	0.0521	0.6057	2.0334	0.4783	128	tanh	mse
315	1	0.0899	0.1812	2.2901	0.1563	256	tanh	mse
316	2	0.0852	0.1887	2.2312	0.2487	256	tanh	mse
